Company,Year,Culture War Event,Event Date,Industry,Ticker,Estimated Political Leaning,Political Leaning Justifications,NAICS Code,Control Firm,Control Ticker,Rationale
Nike,2018,Kaepernick campaign ('Believe in something') caused political backlash and brand support,9/3/18,Apparel/Sportswear,NKE,Liberal,"Liberal - Based on Morning Consult and Axios data; high Democrat favorability, backlash from conservatives over Kaepernick ad.",315210,Under Armour,UAA,"Same athletic apparel industry (NAICS 315990), similar customer base, no recent culture war backlash."
Bud Light,2023,Trans influencer Dylan Mulvaney partnership led to conservative boycott,4/1/23,Beverages/Alcohol,BUD,Conservative,Conservative - Traditional brand with Southern/rural appeal; backlash came from core conservative base over trans partnership.,312120,Molson Coors,TAP,"Same beer/brewing industry (NAICS 312120), publicly traded peer not involved in DEI controversy."
Target,2023,PRIDE collection backlash from conservative groups,5/22/23,Retail,TGT,Mixed,Mixed - Progressive policies (PRIDE collections) but mass-market retailer with bipartisan customer base; data mixed.,999999,Walmart,WMT,"Similar general merchandise retailer (NAICS 452311), remained largely apolitical during 2023."
Skittles,2023,'Black Trans Lives Matter' packaging criticized by conservatives,8/1/23,Food/Candy,MDLZ,Liberal,"Liberal - Owned by Mondelez, aligned with DEI messaging; packaging sparked conservative criticism.",999999,Hershey,HSY,"Same confectionery market (NAICS 311340), no comparable public controversy."
Calvin Klein,2024,Pulled back on PRIDE campaign after facing public criticism,6/1/24,Apparel,PVH,Liberal,"Liberal - Urban, fashion-forward brand with PRIDE campaigns; high liberal consumer affinity.",315210,Ralph Lauren,RL,"Apparel/lifestyle brand with similar market (NAICS 315220), low political exposure."
Starbucks,2018,'Race Together' anti-bias campaign faced ridicule,3/16/18,Food & Beverage,SBUX,Liberal,Liberal - High Democrat favorability (Morning Consult); history of progressive stances on race and labor.,999999,Dunkin',DNKN,"Coffee chain (NAICS 722515), owned by Inspire Brands, no comparable DEI backlash."
H&M,2018,'Coolest monkey' hoodie sparked racial outrage,1/8/18,Apparel,HNNMY,Liberal,Liberal - Fast fashion brand with urban/global appeal; PRIDE and social campaigns common.,315210,Gap Inc.,GPS,"Fast fashion peer (NAICS 448140), similar market exposure, less activist branding."
Gillette,2019,Toxic masculinity ad drew #MeToo-related backlash,1/13/19,Consumer Goods,PG,Liberal,Liberal - Toxic masculinity ad supported by liberal consumers; boycotted by conservative voices.,999999,Edgewell Personal Care,EPC,"Same shaving products segment (NAICS 325620), avoided political advertising."
Ben & Jerry’s,2021,Ended sales in Israeli-occupied territories; accused of antisemitism,7/19/21,Food/Ice Cream,UL,Liberal,"Liberal - Explicit progressive activism (Palestine, climate, equity); left-wing executive statements.",999999,Nestlé,NSRGY,"Ice cream competitor (NAICS 311520), broader portfolio, less visible activism."
Delta Air Lines,2018,Cut NRA discount; conservative backlash and state tax threat,2/25/18,Airlines,DAL,Conservative,Conservative - HQ in Georgia; backlash came from Republican lawmakers over NRA policy.,481111,United Airlines,UAL,"Same airline industry (NAICS 481111), similar customer profile, neutral on gun policy."
Papa John’s,2017,CEO criticized NFL protests; faced backlash and CEO resignation,11/1/17,Food/Restaurants,PZZA,Conservative,Conservative - CEO donated to conservative candidates; anti-NFL protest remarks.,999999,Domino’s,DPZ,"Same quick-service pizza industry (NAICS 722513), fewer CEO-related controversies."
Goya Foods,2020,CEO praised Trump; boycott from liberal consumers,7/9/20,Food,Private,Conservative,Conservative - CEO praised Trump at White House; favored by right-wing figures.,999999,Campbell Soup,CPB,"Same packaged food segment (NAICS 311999), widely consumed but not politically tied."
Chick-fil-A,2012,CEO comments and donations to anti-LGBTQ groups triggered boycotts,7/16/12,Food/Restaurants,Private,Conservative,Conservative - History of anti-LGBTQ donations; consistent with conservative audience support.,999999,McDonald’s,MCD,"Same fast food industry (NAICS 722513), broader appeal, less religious affiliation."
Heineken,2018,'Lighter is better' ad seen as racially insensitive,3/26/18,Beverages/Alcohol,HEINY,Liberal,Liberal - European/global branding; ad controversy hit liberal sensitivity but not conservative base.,312120,Boston Beer Co,SAM,"Alcoholic beverage peer (NAICS 312120), no major PRIDE or DEI controversies."
Audi,2017,Equal pay Super Bowl ad criticized as hypocritical,2/5/17,Automotive,VWAGY,Liberal,"Liberal - Gender equity ad supported by liberals, criticized by conservatives as hypocritical.",336111,BMW,BMWYY,"Luxury auto peer (NAICS 336111), less involved in social issue marketing."
Under Armour,2017,CEO praised Trump; consumer backlash followed,2/8/17,Apparel/Sportswear,UAA,Liberal,"Liberal - CEO statements on Trump drew backlash; younger, urban appeal.",315210,Columbia Sportswear,COLM,"Athletic apparel (NAICS 315990), conservative branding strategy, avoided culture war alignment."
Keurig,2018,Pulled ads from conservative show; faced destruction of products by viewers,11/12/18,Consumer Goods,GMCR,Liberal,Liberal - Pulled ads from Sean Hannity show; conservatives protested by destroying machines.,999999,PepsiCo,PEP,"Beverage peer (NAICS 312111), no single-issue ad controversy."
Lush Cosmetics,2020,Anti-fracking and animal testing activism polarized consumers,6/1/20,Beauty/Cosmetics,Private,Liberal,Liberal - Longstanding activist brand; supports social justice and environmental causes.,999999,e.l.f. Beauty,ELF,"Personal care and cosmetics (NAICS 325620), less overt political messaging."
Netflix,2020,'Cuties' film accused of promoting child exploitation,9/9/20,Media/Streaming,NFLX,Liberal,"Liberal - High liberal alignment; 'Cuties' sparked conservative outrage, defended by liberal press.",999999,Paramount,PARA,"Streaming/video content peer (NAICS 512120), similar product, less polarizing catalog."
Victoria’s Secret,2012,Cultural appropriation during fashion shows drew criticism,11/1/12,Apparel,VSCO,Conservative,Conservative - Traditional marketing appealed to conservative beauty norms; less progressive shift.,315210,Aerie (AEO),AEO,"Same intimate apparel market (NAICS 448190), targeted younger demos, less backlash."
Dolce & Gabbana,2018,Racist chopsticks ad targeting Chinese culture,11/21/18,Apparel/Luxury,Private,Conservative,Conservative - Criticized for cultural insensitivity; conservative leadership stance on same-sex families.,999999,Prada,PRDSY,"Luxury fashion peer (NAICS 315220), less public missteps in cultural discourse."
Brandy Melville,2020,Body-image and racism allegations in hiring practices,6/15/20,Retail/Apparel,Private,Conservative,Conservative - Criticized for exclusionary branding and race/gender issues; appealed to narrow audience.,999999,American Eagle,AEO,"Youth fashion peer (NAICS 448140), similar market without exclusionary controversy."
Glow & Lovely,2020,Colorism controversy over skin-whitening marketing in India,6/25/20,Beauty/Personal Care,UL,Liberal,Liberal - Rebranded from Fair & Lovely under pressure from anti-colorism activists; progressive shift.,999999,Olay (P&G),PG,"Same skincare market (NAICS 325620), culturally adaptive but less publicly controversial."
Mastercard,2022,Faced pressure to withdraw PRIDE sponsorships,6/1/22,Financial Services,MA,Mixed,Mixed - PRIDE sponsorships supported by liberals; conservative pushback in recent years.,999999,Visa,V,"Payments peer (NAICS 522320), similar footprint, more muted on PRIDE/identity politics."
PepsiCo,2022,Faced backlash over perceived PRIDE support in conservative circles,6/5/22,Beverages/Food,PEP,Mixed,Mixed - Broad consumer base; PRIDE support and Kendall Jenner ad flopped across ideologies.,999999,Coca-Cola,KO,"Same beverage space (NAICS 312111), Kendall Jenner ad backlash vs Coke’s consistent neutrality."
Abercrombie & Fitch,2002,Asian-caricature T-shirts pulled after protests,4/12/02,Apparel Retail,ANF,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,448140,American Eagle Outfitters,AEO,Same apparel retail segment and similar market positioning.
Molson Coors,2004,Boycott over extending same-sex benefits in Colorado,10/11/04,Beverages/Alcohol,TAP,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,312120,Diageo,DEO,Global beverage alcohol peer with similar product portfolio.
Ford Motor,2005,Conservative boycott over pro-LGBT magazine ads,6/10/05,Automotive,F,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,336111,General Motors,GM,"Major U.S. automaker, similar size and industry."
Walmart,2006,Backlash over donations to gay-rights groups,11/20/06,General Merchandise Retail,WMT,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,452311,Costco Wholesale,COST,"Big-box retail competitor, comparable revenue scale."
Home Depot,2007,Pride parade sponsorship sparks conservative boycott,9/14/07,Home Improvement Retail,HD,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,444110,Lowe’s,LOW,Direct competitor in home‑improvement retail.
Coca-Cola,2008,Pulls support from Prop 8 opponents,11/14/08,Beverages/Soft Drinks,KO,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",312111,PepsiCo,PEP,Primary competitor in non‑alcoholic beverages.
Whole Foods Market,2009,Boycott after CEO's anti-Obamacare op-ed,8/12/09,Grocery Retail,WFM,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,445110,Kroger,KR,Grocery retail peer with nationwide footprint.
Starbucks,2010,Arizona immigration law boycott calls,5/4/10,Restaurant/Coffeehouse,SBUX,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",722513,Dunkin Brands,DNKN,Coffeehouse chain targeting similar consumers.
Lowe's,2011,Pulls ads from 'All-American Muslim' reality show,12/11/11,Home Improvement Retail,LOW,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,444110,Home Depot,HD,Direct competitor in home‑improvement retail.
Kroger,2011,Accused of 'war on Christmas' over generic decor,12/16/11,Grocery Retail,KR,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,445110,Albertsons,ACI,Large U.S. grocery chain.
J.C. Penney,2012,Names Ellen DeGeneres spokeswoman leading to boycott,2/7/12,Department Store,JCP,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,452210,Kohl’s,KSS,Mid‑market department‑store competitor.
Starbucks,2012,Shareholder clash over same-sex marriage stance,3/21/12,Restaurant/Coffeehouse,SBUX,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",722513,Dunkin Brands,DNKN,Coffeehouse chain targeting similar consumers.
Macy's,2013,Fires employee refusing transgender locker-room policy,1/4/13,Department Store,M,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,452210,Nordstrom,JWN,Department‑store peer appealing to similar shoppers.
Barilla,2013,Chairman's anti-gay remarks ignite pasta boycott,9/26/13,Packaged Foods,BLU,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,311421,General Mills,GIS,Packaged‑foods producer competing in pasta.
Gap,2013,'Merry Everything' campaign criticized,11/2/13,Apparel Retail,GPS,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,448140,American Eagle Outfitters,AEO,Casual apparel peer.
Coca-Cola,2014,Multilingual Super Bowl ad backlash,2/2/14,Beverages/Soft Drinks,KO,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",312111,PepsiCo,PEP,Primary competitor in non‑alcoholic beverages.
Disney,2014,Threatens Georgia boycott over religious liberty bill,3/10/14,Media & Entertainment,DIS,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",512110,Comcast (NBCUniversal),CMCSA,Conglomerate with major media & theme‑park assets.
Altria Group,2014,'I Can’t Breathe' T-shirt controversy,12/3/14,Tobacco,MO,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,312230,Philip Morris International,PM,Large cap tobacco peer.
Starbucks,2015,'Race Together' campaign backlash,3/16/15,Restaurant/Coffeehouse,SBUX,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",722513,Dunkin Brands,DNKN,Coffeehouse chain targeting similar consumers.
Salesforce,2015,Indiana RFRA pull-out threat,3/26/15,Cloud Software,CRM,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",541519,Adobe,ADBE,Large‑cap cloud‑software vendor serving enterprises.
Apple,2015,Tim Cook condemns RFRA sparking boycott,3/29/15,Consumer Electronics,AAPL,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",334220,Microsoft,MSFT,Mega‑cap consumer‑tech peer.
Nike,2015,Stops selling Confederate flag apparel,7/13/15,Apparel/Sportswear,NKE,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",315210,Under Armour,UAA,Athletic‑apparel peer.
PepsiCo,2015,#CrackerJack patriotism ad controversy,12/28/15,Beverages/Snacks,PEP,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",311919,Coca-Cola,KO,Direct beverage competitor.
Disney,2016,Georgia anti-LGBT bill threat again,3/23/16,Media & Entertainment,DIS,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",512110,Comcast (NBCUniversal),CMCSA,Conglomerate with major media & theme‑park assets.
PayPal,2016,Cancels Charlotte expansion over HB2,4/5/16,FinTech/Payments,PYPL,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",522320,Block,SQ,FinTech payments peer of similar scale.
Deutsche Bank,2016,Freezes NC hiring over HB2,4/12/16,Banking,DB,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,522110,UBS Group,UBS,European diversified bank rival.
Target,2016,Transgender bathroom policy backlash,4/19/16,General Merchandise Retail,TGT,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,452311,Walmart,WMT,National big‑box retail peer.
Wells Fargo,2016,Boycott over LGBT adoption ads,5/10/16,Banking,WFC,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,522110,JPMorgan Chase,JPM,Large diversified U.S. bank.
Oracle,2016,Execs quit Trump council sparking boycott,6/17/16,Enterprise Software,ORCL,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",511210,SAP SE,SAP,Enterprise‑software competitor.
Starbucks,2016,#TrumpCup viral protest,12/12/16,Restaurant/Coffeehouse,SBUX,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",722513,Dunkin Brands,DNKN,Coffeehouse chain targeting similar consumers.
Delta Air Lines,2017,Immigration-ban waiver backlash,1/29/17,Airlines,DAL,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",481111,American Airlines,AAL,Legacy network airline peer.
Nordstrom,2017,Drops Ivanka Trump brand,2/2/17,Department Store,JWN,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,452210,Macy’s,M,Department‑store peer.
PepsiCo,2017,Kendall Jenner protest ad backlash,3/29/17,Beverages/Snacks,PEP,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",311919,Coca-Cola,KO,Direct beverage competitor.
FedEx,2017,NRA shipping perk controversy,8/15/17,Courier/Logistics,FDX,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,492110,UPS,UPS,Direct logistics competitor.
Keurig Dr Pepper,2017,Pulls ads from Hannity show,11/12/17,Beverages/Soft Drinks,KDP,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,312111,Coca-Cola,KO,Soft‑drinks competitor.
Dick's Sporting Goods,2018,Bans assault-style rifles,2/28/18,Sporting Goods Retail,DKS,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,451110,Hibbett Sports,HIBB,Sporting‑goods retailer.
Walmart,2018,Raises gun purchase age,2/28/18,General Merchandise Retail,WMT,Conservative,Conservative - Based on company alignment with traditional/conservative donor patterns or anti-ESG stance.,452311,Costco Wholesale,COST,"Big-box retail competitor, comparable revenue scale."
United Airlines,2018,Ends NRA discount,2/28/18,Unknown,UAL,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Avis Budget Group,2018,Ends NRA discount,2/28/18,Unknown,CAR,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Hertz,2018,Ends NRA discount,2/28/18,Unknown,HTZ,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
MetLife,2018,Ends NRA program,2/28/18,Unknown,MET,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Delta Air Lines,2018,Loses tax break over NRA stance,3/1/18,Airlines,DAL,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",481111,American Airlines,AAL,Legacy network airline peer.
Papa John's,2018,Founder uses racial slur,7/11/18,Unknown,PZZA,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Procter & Gamble,2019,Gillette toxic masculinity ad,1/14/19,Unknown,PG,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Alphabet,2019,Employee walkout over military AI project,2/2/19,Internet/Technology,GOOGL,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",519130,Microsoft,MSFT,Large‑cap tech rival across ads and cloud.
Wayfair,2019,Walkout over ICE contracts,6/25/19,Unknown,W,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Nike,2019,Pulls Betsy Ross flag sneaker,7/3/19,Apparel/Sportswear,NKE,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",315210,Under Armour,UAA,Athletic‑apparel peer.
Disney,2019,ESPN tied to NBA Hong Kong controversy,10/8/19,Media & Entertainment,DIS,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",512110,Comcast (NBCUniversal),CMCSA,Conglomerate with major media & theme‑park assets.
Peloton,2019,Sexist 'Peloton Wife' ad,12/3/19,Unknown,PTON,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Twitter,2020,Flags Trump tweet leading to boycott,5/29/20,Unknown,TWTR,Mixed,Mixed - Company exhibits both liberal and conservative tendencies in branding or political activity.,999999,,,
Coca-Cola,2020,Backlash over BLM statements,6/17/20,Beverages/Soft Drinks,KO,Liberal,"Liberal - Based on public ESG positioning, DEI policies, and majority Democratic political donations.",312111,PepsiCo,PEP,Primary competitor in non‑alcoholic beverages.
